"My Cart (%s item)","My Cart (%s)"
"My Cart (%s items)","My Cart (%s)"
"Search entire store here...",""
"Sign Up for Our Newsletter:","Newsletter Sign Up"
"Add to Wishlist","Wishlist"
"Add to Compare","Compare"
"You may also be interested in the following product(s)","You Might Also Like"
"Details","Description"
"Customer Reviews","Reviews"
"Write Your Own Review","Reviews"
"Quick Overview","Overview"
"Qty:","Quantity"
"Your Checkout Progress","Checkout Progress"
"Additional Information","Features"
"Product Tags","Tags"